,Timestamp,UTC,Callsign,Altitude,route,id,navaid,latitude,longitude
0,1694626201,2023-09-13T17:30:01Z,EWG6GR,0,L44,1,OST,41.803778,12.237528
128,1694627822,2023-09-13T17:57:02Z,EWG6GR,21175,Z806,2,TIMOV,42.493611,11.899167
147,1694628446,2023-09-13T18:07:26Z,EWG6GR,34000,L81,14,NUKNI,43.803611,11.556944
150,1694628543,2023-09-13T18:09:03Z,EWG6GR,34000,N503,14,BIKTU,44.002222,11.539167
152,1694628609,2023-09-13T18:10:09Z,EWG6GR,34000,Q58,15,OGAPU,44.158333,11.553889
155,1694628708,2023-09-13T18:11:48Z,EWG6GR,33975,Q95,7,PIGAK,44.386389,11.508056
189,1694629819,2023-09-13T18:30:19Z,EWG6GR,34025,T307,2,DIRAB,46.813717,11.062317
190,1694629852,2023-09-13T18:30:52Z,EWG6GR,34000,L12,3,UNIMI,46.860775,11.065189
191,1694629885,2023-09-13T18:31:25Z,EWG6GR,33975,T102,15,SUDUX,46.945014,11.008681
233,1694631258,2023-09-13T18:54:18Z,EWG6GR,34000,UN851,43,HAREM,49.618442,9.414564
242,1694631549,2023-09-13T18:59:09Z,EWG6GR,34000,Z723,3,ETOLU,50.181111,9.288611
244,1694631614,2023-09-13T19:00:14Z,EWG6GR,33950,Z850,2,TEKTU,50.342778,9.136389
248,1694631743,2023-09-13T19:02:23Z,EWG6GR,34025,UN850,24,SOGMI,50.5275,8.899167
257,1694632068,2023-09-13T19:07:48Z,EWG6GR,24675,Z850,4,ARPEG,51.016592,8.306339
258,1694632102,2023-09-13T19:08:22Z,EWG6GR,23350,Z850,5,BADGO,51.096111,8.235556
291,1694632525,2023-09-13T19:15:25Z,EWG6GR,12000,M170,6,BAMSU,51.188775,7.309006
314,1694632840,2023-09-13T19:20:40Z,EWG6GR,6425,T857,5,BIKMU,51.105667,6.672644
319,1694632915,2023-09-13T19:21:55Z,EWG6GR,4925,Z717,4,NEREL,51.0875,6.563056
