altitude,time,flight_level,Energy_Forcing,time_UTC
27000,1707215566,270,0,2024-02-06 10:32:46+00:00
27000,1707215590,270,0,2024-02-06 10:33:10+00:00
27000,1707215604,270,0,2024-02-06 10:33:24+00:00
27000,1707215611,270,0,2024-02-06 10:33:31+00:00
27000,1707215686,270,0,2024-02-06 10:34:46+00:00
27000,1707215761,270,0,2024-02-06 10:36:01+00:00
27000,1707215836,270,0,2024-02-06 10:37:16+00:00
27000,1707215911,270,0,2024-02-06 10:38:31+00:00
27000,1707215924,270,0,2024-02-06 10:38:44+00:00
27000,1707215942,270,0,2024-02-06 10:39:02+00:00
27000,1707215964,270,0,2024-02-06 10:39:24+00:00
27000,1707216006,270,0,2024-02-06 10:40:06+00:00
27000,1707216087,270,0,2024-02-06 10:41:27+00:00
27000,1707216168,270,0,2024-02-06 10:42:48+00:00
27000,1707216175,270,0,2024-02-06 10:42:55+00:00
27000,1707216195,270,0,2024-02-06 10:43:15+00:00
27000,1707216208,270,0,2024-02-06 10:43:28+00:00
27000,1707216215,270,0,2024-02-06 10:43:35+00:00
27000,1707216228,270,0,2024-02-06 10:43:48+00:00
27000,1707216302,270,0,2024-02-06 10:45:02+00:00
27000,1707216315,270,0,2024-02-06 10:45:15+00:00
27000,1707216362,270,0,2024-02-06 10:46:02+00:00
27000,1707216371,270,0,2024-02-06 10:46:11+00:00
27000,1707216380,270,0,2024-02-06 10:46:20+00:00
27000,1707216389,270,0,2024-02-06 10:46:29+00:00
27000,1707216398,270,0,2024-02-06 10:46:38+00:00
27000,1707216407,270,0,2024-02-06 10:46:47+00:00
27000,1707216417,270,0,2024-02-06 10:46:57+00:00
27000,1707216426,270,0,2024-02-06 10:47:06+00:00
27000,1707216435,270,0,2024-02-06 10:47:15+00:00
27000,1707216440,270,0,2024-02-06 10:47:20+00:00
27000,1707216443,270,0,2024-02-06 10:47:23+00:00
27000,1707216447,270,0,2024-02-06 10:47:27+00:00
27000,1707216450,270,0,2024-02-06 10:47:30+00:00
27000,1707216452,270,0,2024-02-06 10:47:32+00:00
27000,1707216456,270,0,2024-02-06 10:47:36+00:00
27000,1707216458,270,0,2024-02-06 10:47:38+00:00
27000,1707216461,270,0,2024-02-06 10:47:41+00:00
27000,1707216464,270,0,2024-02-06 10:47:44+00:00
27000,1707216466,270,0,2024-02-06 10:47:46+00:00
27000,1707216470,270,0,2024-02-06 10:47:50+00:00
27000,1707216473,270,0,2024-02-06 10:47:53+00:00
27000,1707216476,270,0,2024-02-06 10:47:56+00:00
27000,1707216479,270,0,2024-02-06 10:47:59+00:00
27000,1707216483,270,0,2024-02-06 10:48:03+00:00
27000,1707216486,270,0,2024-02-06 10:48:06+00:00
27000,1707216489,270,0,2024-02-06 10:48:09+00:00
27000,1707216492,270,0,2024-02-06 10:48:12+00:00
27000,1707216493,270,0,2024-02-06 10:48:13+00:00
27000,1707216497,270,0,2024-02-06 10:48:17+00:00
27000,1707216499,270,0,2024-02-06 10:48:19+00:00
27000,1707216503,270,0,2024-02-06 10:48:23+00:00
27000,1707216506,270,0,2024-02-06 10:48:26+00:00
27000,1707216509,270,0,2024-02-06 10:48:29+00:00
27000,1707216512,270,0,2024-02-06 10:48:32+00:00
27000,1707216514,270,0,2024-02-06 10:48:34+00:00
27000,1707216518,270,0,2024-02-06 10:48:38+00:00
27000,1707216520,270,0,2024-02-06 10:48:40+00:00
27000,1707216524,270,0,2024-02-06 10:48:44+00:00
27000,1707216527,270,0,2024-02-06 10:48:47+00:00
27000,1707216530,270,0,2024-02-06 10:48:50+00:00
27000,1707216533,270,0,2024-02-06 10:48:53+00:00
27000,1707216535,270,0,2024-02-06 10:48:55+00:00
27000,1707216538,270,0,2024-02-06 10:48:58+00:00
27000,1707216542,270,0,2024-02-06 10:49:02+00:00
27000,1707216544,270,0,2024-02-06 10:49:04+00:00
27000,1707216548,270,0,2024-02-06 10:49:08+00:00
27000,1707216552,270,0,2024-02-06 10:49:12+00:00
27000,1707216555,270,0,2024-02-06 10:49:15+00:00
27000,1707216558,270,0,2024-02-06 10:49:18+00:00
27000,1707216561,270,0,2024-02-06 10:49:21+00:00
27000,1707216576,270,0,2024-02-06 10:49:36+00:00
27000,1707216590,270,0,2024-02-06 10:49:50+00:00
27000,1707216605,270,0,2024-02-06 10:50:05+00:00
27000,1707216620,270,0,2024-02-06 10:50:20+00:00
27000,1707216635,270,0,2024-02-06 10:50:35+00:00
27000,1707216647,270,0,2024-02-06 10:50:47+00:00
27000,1707216662,270,0,2024-02-06 10:51:02+00:00
27000,1707216676,270,0,2024-02-06 10:51:16+00:00
27000,1707216709,270,0,2024-02-06 10:51:49+00:00
27000,1707216742,270,0,2024-02-06 10:52:22+00:00
27000,1707216773,270,0,2024-02-06 10:52:53+00:00
27000,1707216804,270,0,2024-02-06 10:53:24+00:00
27000,1707216834,270,0,2024-02-06 10:53:54+00:00
27000,1707216868,270,0,2024-02-06 10:54:28+00:00
27000,1707216901,270,0,2024-02-06 10:55:01+00:00
27000,1707216910,270,0,2024-02-06 10:55:10+00:00
27000,1707216913,270,0,2024-02-06 10:55:13+00:00
27000,1707216916,270,0,2024-02-06 10:55:16+00:00
27000,1707216919,270,0,2024-02-06 10:55:19+00:00
27000,1707216922,270,0,2024-02-06 10:55:22+00:00
27000,1707216925,270,0,2024-02-06 10:55:25+00:00
27000,1707216928,270,0,2024-02-06 10:55:28+00:00
27000,1707216931,270,0,2024-02-06 10:55:31+00:00
27000,1707216962,270,0,2024-02-06 10:56:02+00:00
27000,1707216994,270,0,2024-02-06 10:56:34+00:00
27000,1707217025,270,0,2024-02-06 10:57:05+00:00
27000,1707217058,270,0,2024-02-06 10:57:38+00:00
27000,1707217090,270,0,2024-02-06 10:58:10+00:00
27000,1707217122,270,0,2024-02-06 10:58:42+00:00
27000,1707217154,270,0,2024-02-06 10:59:14+00:00
27000,1707217187,270,0,2024-02-06 10:59:47+00:00
27000,1707217219,270,0,2024-02-06 11:00:19+00:00
27000,1707217251,270,0,2024-02-06 11:00:51+00:00
27000,1707217282,270,0,2024-02-06 11:01:22+00:00
27000,1707217314,270,0,2024-02-06 11:01:54+00:00
27000,1707217345,270,0,2024-02-06 11:02:25+00:00
27000,1707217378,270,0,2024-02-06 11:02:58+00:00
27000,1707217410,270,0,2024-02-06 11:03:30+00:00
27000,1707217444,270,0,2024-02-06 11:04:04+00:00
27000,1707217477,270,0,2024-02-06 11:04:37+00:00
27000,1707217507,270,0,2024-02-06 11:05:07+00:00
27000,1707217537,270,0,2024-02-06 11:05:37+00:00
27000,1707217572,270,0,2024-02-06 11:06:12+00:00
27000,1707217605,270,0,2024-02-06 11:06:45+00:00
27000,1707217637,270,0,2024-02-06 11:07:17+00:00
27000,1707217669,270,0,2024-02-06 11:07:49+00:00
27000,1707217702,270,0,2024-02-06 11:08:22+00:00
27000,1707217732,270,0,2024-02-06 11:08:52+00:00
27000,1707217765,270,0,2024-02-06 11:09:25+00:00
27000,1707217799,270,0,2024-02-06 11:09:59+00:00
27000,1707217832,270,0,2024-02-06 11:10:32+00:00
27000,1707217864,270,0,2024-02-06 11:11:04+00:00
