,Timestamp,UTC,Callsign,Altitude,route,id,navaid,latitude,longitude
67,1716998529.0,2024-05-29T16:02:09Z,TRA951M,12525.0,UN872,28.0,LEKKO,51.924175,4.767331
74,1716998598.0,2024-05-29T16:03:18Z,TRA951M,14750.0,UZ28,12.0,LARAS,51.834572,4.697325
80,1716998709.0,2024-05-29T16:05:09Z,TRA951M,20000.0,UN872,26.0,KUDAD,51.667481,4.567614
88,1716998870.0,2024-05-29T16:07:50Z,TRA951M,24775.0,UP174,1.0,WOODY,51.405661,4.366481
93,1716999012.0,2024-05-29T16:10:12Z,TRA951M,28650.0,UY131,5.0,NIK,51.165,4.183889
98,1716999161.0,2024-05-29T16:12:41Z,TRA951M,31400.0,L607,35.0,DENOX,50.879444,4.027778
103,1716999310.0,2024-05-29T16:15:10Z,TRA951M,32925.0,UY50,2.0,CIV,50.573972,3.832872
108,1716999463.0,2024-05-29T16:17:43Z,TRA951M,35300.0,N872,2.0,MEDIL,50.342139,3.674972
117,1716999732.0,2024-05-29T16:22:12Z,TRA951M,37000.0,UL15,6.0,LESDO,49.808333,3.318056
123,1716999913.0,2024-05-29T16:25:13Z,TRA951M,37000.0,UN872,19.0,KOVIN,49.485833,3.106389
145,1717000574.0,2024-05-29T16:36:14Z,TRA951M,37000.0,UN491,14.0,TABOV,48.644167,1.648889
147,1717000634.0,2024-05-29T16:37:14Z,TRA951M,37000.0,T116,17.0,BANOX,48.574194,1.5055
172,1717001266.0,2024-05-29T16:47:46Z,TRA951M,37000.0,UT182,5.0,KEPER,47.806111,0.273889
214,1717002287.0,2024-05-29T17:04:47Z,TRA951M,37000.0,UN26,1.0,UVUDO,46.5,-1.844167
287,1717003638.0,2024-05-29T17:27:18Z,TRA951M,37000.0,UZ218,8.0,BAKUP,44.4125,-4.436111
344,1717004628.0,2024-05-29T17:43:48Z,TRA951M,37000.0,R107,3.0,ROVAK,42.741861,-5.856417
380,1717005147.0,2024-05-29T17:52:27Z,TRA951M,37000.0,UZ218,7.0,MOSEN,41.786556,-6.560861
383,1717005211.0,2024-05-29T17:53:31Z,TRA951M,37000.0,UZ218,6.0,BATAX,41.700556,-6.621944
417,1717006016.0,2024-05-29T18:06:56Z,TRA951M,35700.0,UN872,5.0,ABETO,40.429722,-8.056389
426,1717006284.0,2024-05-29T18:11:24Z,TRA951M,27275.0,A5,8.0,XAMAX,40.031111,-8.536111
