,Timestamp,UTC,Callsign,Altitude,route,id,navaid,latitude,longitude
75,1717009151.0,2024-05-29T18:59:11Z,TRA9B,20425.0,B11,15,LOJAS,37.207278,-4.153917
133,1717010584.0,2024-05-29T19:23:04Z,TRA9B,38000.0,G7,10,VISON,40.161028,-3.502472
167,1717011274.0,2024-05-29T19:34:34Z,TRA9B,38000.0,N867,5,OSTIX,41.5045,-3.100111
174,1717011371.0,2024-05-29T19:36:11Z,TRA9B,38000.0,T430,3,GASMO,41.729472,-3.04875
191,1717011725.0,2024-05-29T19:42:05Z,TRA9B,38000.0,G52,11,DGO,42.453306,-2.880694
207,1717012058.0,2024-05-29T19:47:38Z,TRA9B,38000.0,G23,5,CEGAM,42.983722,-2.236361
211,1717012147.0,2024-05-29T19:49:07Z,TRA9B,38000.0,B190,7,BAGAS,43.098444,-2.094722
222,1717012295.0,2024-05-29T19:51:35Z,TRA9B,38000.0,R10,20,SSN,43.311194,-1.830389
223,1717012327.0,2024-05-29T19:52:07Z,TRA9B,38000.0,UL176,4,LUSEM,43.374722,-1.780556
299,1717013561.0,2024-05-29T20:12:41Z,TRA9B,38000.0,UP181,8,CNA,45.659556,-0.311639
369,1717014790.0,2024-05-29T20:33:10Z,TRA9B,36000.0,H34,14,KOVAK,47.993056,0.846667
393,1717015480.0,2024-05-29T20:44:40Z,TRA9B,35625.0,UN873,47,PODEM,49.261389,1.553056
404,1717015810.0,2024-05-29T20:50:10Z,TRA9B,33275.0,UY376,2,SOMIL,49.770278,2.305
421,1717016203.0,2024-05-29T20:56:43Z,TRA9B,20150.0,UN873,50,VEKIN,50.404167,3.275
426,1717016303.0,2024-05-29T20:58:23Z,TRA9B,18550.0,UZ373,2,ARVOL,50.545833,3.496944
440,1717016564.0,2024-05-29T21:02:44Z,TRA9B,14525.0,L607,35,DENOX,50.879444,4.027778
548,1717017263.0,2024-05-29T21:14:23Z,TRA9B,1175.0,UM624,5,BUB,50.902333,4.538083
