,Timestamp,UTC,Callsign,Altitude,route,id,navaid,latitude,longitude
64,1717011367.0,2024-05-29 19:36:07,TRA6731,25575.0,UP174,1,WOODY,51.405661,4.366481
69,1717011516.0,2024-05-29 19:38:36,TRA6731,30000.0,UY131,5,NIK,51.165,4.183889
73,1717011629.0,2024-05-29 19:40:29,TRA6731,30000.0,L607,35,DENOX,50.879444,4.027778
80,1717011818.0,2024-05-29 19:43:38,TRA6731,33050.0,UY50,2,CIV,50.573972,3.832872
84,1717011939.0,2024-05-29 19:45:39,TRA6731,35150.0,N872,2,MEDIL,50.342139,3.674972
93,1717012205.0,2024-05-29 19:50:05,TRA6731,37000.0,UL15,6,LESDO,49.808333,3.318056
99,1717012386.0,2024-05-29 19:53:06,TRA6731,37000.0,UN872,19,KOVIN,49.485833,3.106389
119,1717012988.0,2024-05-29 20:03:08,TRA6731,37000.0,R161,1,LALUX,48.286389,2.408889
122,1717013077.0,2024-05-29 20:04:37,TRA6731,37000.0,UM728,7,KETEX,48.133333,2.359722
131,1717013298.0,2024-05-29 20:08:18,TRA6731,37000.0,J18,29,MOTAL,47.576667,2.22
184,1717014222.0,2024-05-29 20:23:42,TRA6731,37000.0,V15,125,LMG,45.815917,1.025583
197,1717014423.0,2024-05-29 20:27:03,TRA6731,37000.0,R10,28,NORON,45.484722,0.6775
217,1717014732.0,2024-05-29 20:32:12,TRA6731,37000.0,UN857,88,UVELI,45.041417,0.111944
231,1717014969.0,2024-05-29 20:36:09,TRA6731,37000.0,UN862,6,OSMOB,44.649194,-0.338194
246,1717015210.0,2024-05-29 20:40:10,TRA6731,37000.0,B19,1,ENSAC,44.2,-0.690278
281,1717015808.0,2024-05-29 20:50:08,TRA6731,37000.0,UT424,2,ARVID,43.076,-1.464694
282,1717015837.0,2024-05-29 20:50:37,TRA6731,37000.0,R299,2,GOMSO,42.995103,-1.500003
292,1717015993.0,2024-05-29 20:53:13,TRA6731,37000.0,UN857,84,PPN,42.73375,-1.702
300,1717016116.0,2024-05-29 20:55:16,TRA6731,37000.0,R10,17,NOLSA,42.427611,-1.907417
303,1717016174.0,2024-05-29 20:56:14,TRA6731,37000.0,R10,16,ALEPO,42.343667,-1.963333
305,1717016233.0,2024-05-29 20:57:13,TRA6731,37000.0,UN725,5,VASUM,42.271917,-2.011
308,1717016261.0,2024-05-29 20:57:41,TRA6731,37000.0,R10,15,GARVU,42.171028,-2.077806
333,1717016623.0,2024-05-29 21:03:43,TRA6731,37000.0,UN10,11,HERMI,41.473528,-2.533278
362,1717017125.0,2024-05-29 21:12:05,TRA6731,37000.0,N867,3,VEMAK,40.660472,-3.286333
369,1717017285.0,2024-05-29 21:14:45,TRA6731,37000.0,R753,3,BOSIO,40.340861,-3.520583
377,1717017434.0,2024-05-29 21:17:14,TRA6731,37000.0,UN975,15,GOTOR,40.110778,-3.7245
385,1717017639.0,2024-05-29 21:20:39,TRA6731,37000.0,UN857,78,KAMPO,39.733333,-4.055389
395,1717017912.0,2024-05-29 21:25:12,TRA6731,35125.0,B42,7,MONTO,39.221778,-4.496833
399,1717018036.0,2024-05-29 21:27:16,TRA6731,33200.0,UN857,76,MOLIN,39.0,-4.68575
409,1717018306.0,2024-05-29 21:31:46,TRA6731,22400.0,Z230,1,HIJ,38.508139,-5.099694
507,1717019077.0,2024-05-29 21:44:37,TRA6731,2275.0,R47,7,SVL,37.427583,-5.762222
