,Timestamp,UTC,Callsign,Altitude,route,id,navaid,latitude,longitude
36,1713129438,2024-04-14T21:17:18Z,WUK738,675,N16,2,OTSID,51.173056,-0.230833
105,1713129850,2024-04-14T21:24:10Z,WUK738,11400,L9,7,DIKVU,51.296389,0.317222
120,1713130104,2024-04-14T21:28:24Z,WUK738,19725,M85,1,ITVIP,51.287222,1.053333
129,1713130395,2024-04-14T21:33:15Z,WUK738,26350,M84,1,KONAN,51.130764,2.0
146,1713130948,2024-04-14T21:42:28Z,WUK738,34975,L607,35,DENOX,50.879444,4.027778
147,1713130979,2024-04-14T21:42:59Z,WUK738,35000,UZ703,2,LERVO,50.833056,4.158611
151,1713131109,2024-04-14T21:45:09Z,WUK738,35000,M617,4,HUL,50.749444,4.641667
152,1713131142,2024-04-14T21:45:42Z,WUK738,35000,L607,34,GILOM,50.752028,4.774111
174,1713131857,2024-04-14T21:57:37Z,WUK738,35000,Z112,3,MANUV,50.295556,7.458889
183,1713132149,2024-04-14T22:02:29Z,WUK738,35000,T844,4,ASKIK,50.052778,8.533611
184,1713132180,2024-04-14T22:03:00Z,WUK738,34975,UL984,5,FFM,50.053742,8.637092
185,1713132211,2024-04-14T22:03:31Z,WUK738,34950,Y853,2,BOMBI,50.056667,8.800278
190,1713132371,2024-04-14T22:06:11Z,WUK738,35025,UQ162,1,PSA,49.862242,9.348325
192,1713132437,2024-04-14T22:07:17Z,WUK738,34975,Z744,1,LEPSA,49.822881,9.590611
203,1713132791,2024-04-14T22:13:11Z,WUK738,35000,N869,71,AMOSA,49.509444,10.811389
219,1713133309,2024-04-14T22:21:49Z,WUK738,34975,M736,31,RDG,49.040269,12.526547
229,1713133637,2024-04-14T22:27:17Z,WUK738,35000,L604,23,LAMSI,48.653333,13.583333
300,1713135866,2024-04-14T23:04:26Z,WUK738,35000,L606,1,INVED,46.157778,20.401389
329,1713136778,2024-04-14T23:19:38Z,WUK738,35000,L606,2,PADGU,44.778611,22.610556
334,1713136942,2024-04-14T23:22:22Z,WUK738,35000,L606,3,OVDOT,44.538889,22.976944
344,1713137269,2024-04-14T23:27:49Z,WUK738,35000,N127,8,NULGO,44.045,23.717222
351,1713137493,2024-04-14T23:31:33Z,WUK738,35000,L867,3,TIMUR,43.688889,24.239167
362,1713137845,2024-04-14T23:37:25Z,WUK738,34975,N605,3,XANEX,43.127222,24.980278
378,1713138364,2024-04-14T23:46:04Z,WUK738,33400,T390,2,GASRU,42.251111,26.099444
386,1713138618,2024-04-14T23:50:18Z,WUK738,24950,T390,3,RILEX,41.971111,26.766389
