Timestamp,UTC,Callsign,Altitude,Speed,Direction,latitude,longitude,nautical_miles
1713128675,2024-04-14T21:04:35Z,WUK738,0,0,348,51.15501,-0.169697,0.0
1713128748,2024-04-14T21:05:48Z,WUK738,0,2,348,51.154804,-0.169601,0.012885865283334515
1713128766,2024-04-14T21:06:06Z,WUK738,0,3,348,51.154598,-0.169527,0.02555167485204751
1713128784,2024-04-14T21:06:24Z,WUK738,0,3,348,51.154392,-0.169468,0.0380939940015369
1713129048,2024-04-14T21:10:48Z,WUK738,0,3,25,51.154335,-0.169249,0.04389870546852034
1713129055,2024-04-14T21:10:55Z,WUK738,0,5,50,51.154381,-0.169048,0.044984042978521585
1713129061,2024-04-14T21:11:01Z,WUK738,0,6,64,51.154415,-0.168819,0.04867702712762275
1713129066,2024-04-14T21:11:06Z,WUK738,0,6,73,51.154449,-0.168581,0.0538589725572683
1713129070,2024-04-14T21:11:10Z,WUK738,0,7,75,51.154472,-0.168377,0.05928251879772331
1713129074,2024-04-14T21:11:14Z,WUK738,0,8,78,51.154507,-0.168171,0.06491924287040678
1713129079,2024-04-14T21:11:19Z,WUK738,0,9,78,51.154541,-0.167857,0.07479480976441572
1713129083,2024-04-14T21:11:23Z,WUK738,0,9,92,51.154533,-0.16758,0.08471115579807278
1713129087,2024-04-14T21:11:27Z,WUK738,0,9,112,51.154449,-0.16737,0.09388182001294444
1713129094,2024-04-14T21:11:34Z,WUK738,0,6,149,51.154221,-0.167189,0.10566221198186454
1713129103,2024-04-14T21:11:43Z,WUK738,0,5,165,51.154007,-0.167141,0.11354155411817649
1713129115,2024-04-14T21:11:55Z,WUK738,0,5,168,51.15374,-0.16704,0.12580218315047
1713129124,2024-04-14T21:12:04Z,WUK738,0,5,165,51.153511,-0.166948,0.13717662359555122
1713129133,2024-04-14T21:12:13Z,WUK738,0,5,160,51.153294,-0.166818,0.14956616532028572
1713129142,2024-04-14T21:12:22Z,WUK738,0,5,165,51.153088,-0.166721,0.16086367778839916
1713129156,2024-04-14T21:12:36Z,WUK738,0,2,168,51.152882,-0.166669,0.1712527104944301
1713129180,2024-04-14T21:13:00Z,WUK738,0,2,168,51.152657,-0.166588,0.18348584976793905
1713129333,2024-04-14T21:15:33Z,WUK738,0,5,168,51.152378,-0.166492,0.19884789116581186
1713129340,2024-04-14T21:15:40Z,WUK738,0,7,168,51.152168,-0.166416,0.21067410800132585
1713129347,2024-04-14T21:15:47Z,WUK738,0,7,168,51.151932,-0.166335,0.22401609670139375
1713129354,2024-04-14T21:15:54Z,WUK738,0,7,171,51.151714,-0.16628,0.23605326108291091
1713129360,2024-04-14T21:16:00Z,WUK738,0,9,188,51.151493,-0.16634,0.24611485910769682
1713129365,2024-04-14T21:16:05Z,WUK738,0,9,225,51.151356,-0.166607,0.24834000688883442
1713129369,2024-04-14T21:16:09Z,WUK738,0,7,253,51.15136,-0.166855,0.24388723363069106
1713129378,2024-04-14T21:16:18Z,WUK738,0,2,258,51.151356,-0.167065,0.24074043036925302
1713129385,2024-04-14T21:16:25Z,WUK738,0,8,258,51.151321,-0.167294,0.23926376849374265
1713129389,2024-04-14T21:16:29Z,WUK738,0,15,258,51.151279,-0.167542,0.23825908951713104
1713129396,2024-04-14T21:16:36Z,WUK738,0,51,258,51.151028,-0.169411,0.23932367856642023
1713129402,2024-04-14T21:16:42Z,WUK738,0,80,258,51.150585,-0.172672,0.2883367928795144
1713129410,2024-04-14T21:16:50Z,WUK738,75,115,257,51.14978,-0.178379,0.4533337450664791
1713129420,2024-04-14T21:17:00Z,WUK738,50,143,257,51.148388,-0.188446,0.810347296803013
1713129429,2024-04-14T21:17:09Z,WUK738,225,165,258,51.147129,-0.198288,1.1761614831347071
1713129438,2024-04-14T21:17:18Z,WUK738,675,160,258,51.145687,-0.209045,1.5841221584755765
1713129447,2024-04-14T21:17:27Z,WUK738,1125,158,258,51.144333,-0.219578,1.9850142690438723
1713129456,2024-04-14T21:17:36Z,WUK738,1500,164,257,51.142941,-0.229721,2.373993528091306
1713129465,2024-04-14T21:17:45Z,WUK738,1750,174,257,51.141357,-0.241089,2.8110759871962707
1713129474,2024-04-14T21:17:54Z,WUK738,2000,181,257,51.13982,-0.252304,3.2422659106109153
1713129483,2024-04-14T21:18:03Z,WUK738,2325,186,257,51.138199,-0.264192,3.699522625776937
1713129492,2024-04-14T21:18:12Z,WUK738,2700,187,258,51.136459,-0.276959,4.190839164195132
1713129495,2024-04-14T21:18:15Z,WUK738,2825,188,262,51.136097,-0.280991,4.343081857835795
1713129498,2024-04-14T21:18:18Z,WUK738,2900,190,271,51.136002,-0.285348,4.503135005886198
1713129501,2024-04-14T21:18:21Z,WUK738,2975,190,278,51.136276,-0.289579,4.653455613859362
1713129504,2024-04-14T21:18:24Z,WUK738,3025,190,283,51.136795,-0.293274,4.78137369756924
1713129507,2024-04-14T21:18:27Z,WUK738,3125,190,291,51.137741,-0.297373,4.919467567067332
1713129509,2024-04-14T21:18:29Z,WUK738,3150,190,296,51.138519,-0.299823,5.000213262918075
1713129513,2024-04-14T21:18:33Z,WUK738,3250,191,306,51.140488,-0.304499,5.15153752413645
1713129514,2024-04-14T21:18:34Z,WUK738,3275,193,309,51.1408,-0.305023,5.167847315732533
1713129518,2024-04-14T21:18:38Z,WUK738,3375,196,318,51.143188,-0.308805,5.287106460926729
1713129520,2024-04-14T21:18:40Z,WUK738,3425,198,321,51.145126,-0.311203,5.362386916597675
1713129524,2024-04-14T21:18:44Z,WUK738,3525,200,328,51.147923,-0.313721,5.440782314385002
1713129527,2024-04-14T21:18:47Z,WUK738,3600,204,340,51.150482,-0.315399,5.493892007278611
1713129530,2024-04-14T21:18:50Z,WUK738,3650,207,344,51.152901,-0.316467,5.5286877870374855
1713129533,2024-04-14T21:18:53Z,WUK738,3700,211,354,51.154205,-0.316849,5.541755795368039
1713129537,2024-04-14T21:18:57Z,WUK738,3850,215,2,51.16021,-0.317307,5.567192284876334
1713129539,2024-04-14T21:18:59Z,WUK738,3900,218,9,51.16254,-0.316925,5.562310270867523
1713129543,2024-04-14T21:19:03Z,WUK738,4000,220,13,51.165985,-0.315628,5.5342315326775005
1713129546,2024-04-14T21:19:06Z,WUK738,4075,224,22,51.168777,-0.313927,5.4931935620271615
1713129548,2024-04-14T21:19:08Z,WUK738,4125,226,27,51.171429,-0.31189,5.443798784963178
1713129552,2024-04-14T21:19:12Z,WUK738,4225,227,33,51.174271,-0.308953,5.3690731373554135
