,Timestamp,UTC,Callsign,Altitude,route,id,navaid,latitude,longitude
121,1713122192,2024-04-14T19:16:32Z,TUI5E,34025,N858,3,SARAY,29.758639,-14.157417
134,1713122612,2024-04-14T19:23:32Z,TUI5E,36000,UN858,2,VASTO,30.509444,-13.572778
227,1713125663,2024-04-14T20:14:23Z,TUI5E,36000,UZ218,1,BAROK,35.966667,-10.023333
279,1713127335,2024-04-14T20:42:15Z,TUI5E,36000,G7,3,TAGUX,38.945556,-7.914167
314,1713128481,2024-04-14T21:01:21Z,TUI5E,36000,UN745,11,TOSDI,40.990778,-6.288611
342,1713129381,2024-04-14T21:16:21Z,TUI5E,36000,UN873,32,NUBLO,42.665972,-4.988889
354,1713129765,2024-04-14T21:22:45Z,TUI5E,36000,UN873,33,RONSI,43.484417,-4.503583
429,1713132012,2024-04-14T22:00:12Z,TUI5E,36000,UN482,12,NIMER,47.4725,0.356944
436,1713132239,2024-04-14T22:03:59Z,TUI5E,36000,UN874,1,VANAD,47.837222,0.907222
492,1713134023,2024-04-14T22:33:43Z,TUI5E,36000,UZ907,2,KOGES,50.57,6.200556
493,1713134053,2024-04-14T22:34:13Z,TUI5E,36000,UZ706,4,LENDO,50.625278,6.278611
503,1713134373,2024-04-14T22:39:33Z,TUI5E,35350,T150,2,LIPMI,51.118422,7.268981
509,1713134564,2024-04-14T22:42:44Z,TUI5E,26650,Z850,6,ABILU,51.41,7.954167
516,1713134791,2024-04-14T22:46:31Z,TUI5E,18525,Y13,24,SONOR,51.723611,8.573889
532,1713135153,2024-04-14T22:52:33Z,TUI5E,9650,UN850,30,PERIK,52.106389,9.495556
546,1713135353,2024-04-14T22:55:53Z,TUI5E,5375,Z113,1,DLE,52.250319,9.883494
