,Timestamp,UTC,Callsign,Altitude,route,id,navaid,latitude,longitude
87,1707216925,2024-02-06T10:55:25Z,AHY074,21750,J10,30,NEPAR,49.086111,3.550833
88,1707216928,2024-02-06T10:55:28Z,AHY074,21850,J10,30,NEPAR,49.086111,3.550833
89,1707216931,2024-02-06T10:55:31Z,AHY074,21950,J10,30,NEPAR,49.086111,3.550833
104,1707217410,2024-02-06T11:03:30Z,AHY074,32675,UN858,27,MEDOX,49.333611,5.096944
111,1707217637,2024-02-06T11:07:17Z,AHY074,35025,UM163,6,VALEK,49.514444,5.781111
129,1707218220,2024-02-06T11:17:00Z,AHY074,35000,Y180,11,SOBRA,49.860833,7.775556
131,1707218286,2024-02-06T11:18:06Z,AHY074,35025,T894,7,MISGI,49.945278,7.958889
145,1707218432,2024-02-06T11:20:32Z,AHY074,35000,Z738,8,NOKDI,49.866389,8.479167
155,1707218736,2024-02-06T11:25:36Z,AHY074,35000,UM149,3,DETEV,49.823611,9.541944
156,1707218739,2024-02-06T11:25:39Z,AHY074,35000,UM149,3,DETEV,49.823611,9.541944
157,1707218742,2024-02-06T11:25:42Z,AHY074,35000,UM149,3,DETEV,49.823611,9.541944
158,1707218745,2024-02-06T11:25:45Z,AHY074,35000,UM149,3,DETEV,49.823611,9.541944
159,1707218748,2024-02-06T11:25:48Z,AHY074,35025,Z744,1,LEPSA,49.822881,9.590611
160,1707218751,2024-02-06T11:25:51Z,AHY074,35025,Z744,1,LEPSA,49.822881,9.590611
162,1707218818,2024-02-06T11:26:58Z,AHY074,35000,T161,3,TOSTU,49.713536,9.805942
163,1707218851,2024-02-06T11:27:31Z,AHY074,35025,UZ160,1,WUR,49.717531,9.947
169,1707219045,2024-02-06T11:30:45Z,AHY074,35000,T159,5,SUKAD,49.550972,10.532478
188,1707219658,2024-02-06T11:40:58Z,AHY074,35000,M736,31,RDG,49.040269,12.526547
191,1707219759,2024-02-06T11:42:39Z,AHY074,35000,T108,8,LITLI,48.964444,12.863889
316,1707223826,2024-02-06T12:50:26Z,AHY074,34950,L746,4,BALBI,44.905,25.754167
347,1707224908,2024-02-06T13:08:28Z,AHY074,35000,N616,26,DINRO,43.7,28.808333
367,1707225581,2024-02-06T13:19:41Z,AHY074,35000,UM859,10,UDROS,42.738889,30.596111
412,1707229488,2024-02-06T14:24:48Z,AHY074,34975,N644,12,ODILI,41.721389,42.094444
416,1707230000,2024-02-06T14:33:20Z,AHY074,35025,M747,20,LAGAS,41.571944,44.231389
424,1707230268,2024-02-06T14:37:48Z,AHY074,35025,M747,21,BARAD,41.358611,45.083333
430,1707230463,2024-02-06T14:41:03Z,AHY074,34975,M737,9,NEVEB,41.208056,45.657222
441,1707230816,2024-02-06T14:46:56Z,AHY074,35000,T916,5,SUBUT,40.899167,46.821944
463,1707231832,2024-02-06T15:03:52Z,AHY074,9825,N59,4,SULEL,40.189167,49.511667
